naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
DELO V TURIZMU,DELO NA PARKIRIŠČU,"4,50 €/h neto",POSTOJNA,Usmerjanje prometa na parkiriščih in podajanje osnovnih informacij gostom. Možnost dela tudi samo ob vikendih. Pogoj je starost nad 18 let., 1 , PO DOGOVORU , Po dogovoru, 307734 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,22 €/h neto",LESCE,Podjetje išče osebo za delo v proizvodnji. Potrebne so ročne spretnosti. Prijavo pošlji na email in zraven priloži svojo telefonsko številko., 1 , 2 MESECA , Dopoldan, 307732 , začasno in občasno delo
DELO V PROIZVODNJI,DELO V PEKARNI,"4,31 €/h neto",GORENJA VAS,Podjetje išče kandidata za delo v pekarni  (delo v proizvodnji piškotov in peciva). Delovnik po dogovoru s podjetjem., 1 , DLJE ČASA (OBČASNO) , dopoldan, 307729 , začasno in občasno delo
DELO V SKLADIŠČU,,"5,07 €/h neto",NAKLO,"Iščejo študente za delo v skladišču živilskih izdelkov. Delo obsega pripravo blaga na podlagi dokumentacije, kontrolo in odpremo pripravljenih komisionov. Delo je v hladnem delovnem okolju.", 2 , DLJE ČASA (OBČASNO) , Popoldan, 307728 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"4,13 €/h neto",LJUBLJANA,"K sodelovanju vabijo komunikativne in natančne študente/-ke višjih letnikov družboslovnih smeri za pomoč pri kadrovsko administrativnih nalogah: opravljanje telefonskih klicev, vpisovanje v interni program, oglaševanje delovnih mest. Zaželeno je poznavanje MS Office, komunikativnost, organiziranost, razpoložljivost za delo, želja po učenju in dolgoročnemu sodelovanju.", 1 , DLJE ČASA (OBČASNO) , dopoldan, 307725 , začasno in občasno delo
BLAGAJNIK,,"4,13 €/h neto",CELJE,"Hipermarket išče več polnoletnih oseb za delo na blagajni. Delo bo potekalo večinoma med vikendi. Urna postavka za nedelje je 6,00 € bruto.", 3 , DLJE ČASA (OBČASNO) , Med vikendom, 307722 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,PRODAJA,"5,50 €/h neto",ŠKOFJA LOKA,"Podjetje išče polnoletnega kandidata za delo na bencinskem servisu (prodaja v trgovini in delo v avtopralnici), delo s strankami, blagajno, čiščenje in skrb za urejen videz servisa...). Pogoj: izpit B kategorije.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307719 , začasno in občasno delo
KOMERCIALNA DELA,,"4,65 €/h neto",LJUBLJANA,"Odgovorni boste za: komunikacijo preko telefona, promocijo in predstavitev kadrovskih storitev, organiziranje, izvedbo sestankov pri potencialnih strankah, oblikovanje ponudb. Pričakujejo: odlične komunikacijske sposobnosti, samozavest ter odpornost na stres, vozniški izpit B kategorije. Pogoj je starost nad 18 let. Nudijo: mlado in dinamično delovno okolje, osebni in strokovni razvoj, mentorstvo pri uvajanju.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU ", Po dogovoru, 307718 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",MARIBOR,"Podjetje potrebuje polnoletno, zanesljivo in komunikativno osebo za delo v strežbi. Izkušnje niso potrebne.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 307714 , začasno in občasno delo
ZLAGANJE,,"4,13 €/h neto",MARIBOR,Podjetje potrebuje polnoletno osebo za zlaganje na police v trgovskem centru. Dela se v dopoldanskem času., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307711 , začasno in občasno delo
ZLAGANJE,,"5,00 €/h neto",KOPER,Podjetje potrebuje  polnoletno osebo za zlaganje na police v 3 trgovskih centrih. Delo poteka v dopoldanskem času. Zaželene so izkušnje., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307710 , začasno in občasno delo
RAČUNOVODSKA DELA,,"4,65 €/h neto",DOMŽALE,Pomoč pri knjiženju. Dela se 10-15 ur na mesec. Zaželena ekonomska smer in izkušnje., 1 , PO DOGOVORU , Dopoldan, 307708 , začasno in občasno delo
KURIR,,"5,00 €/h neto",LJUBLJANA - ČRNUČE,"Kurirska dela. Dostavlja se po Sloveniji, večinoma na relaciji Ljubljana - Maribor in v okolici Ljubljane. Pogoj je opravljen vozniški izpit B kategorije.", 1 , PO DOGOVORU , Dopoldan, 307706 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"6,00 €/h neto",LESCE,"Pogoj je samostojnost pri delu. Pripadajo ti tudi malica, napitek in kava.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307704 , začasno in občasno delo
STREŽBA,,"4,90 €/h neto",CELJE,"Iščejo zanesljivo in odgovorno osebo za delo v strežbi v kavarni in slaščičarni. Pogoj je starost nad 18 let. Začetna urna postavka je 5,80 € bruto. Delo poteka izmensko. Za vse dodatne informacije jim pišite na mail ali jih pokličite na telefon (med 8. in 12. uro).", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307703 , začasno in občasno delo
POUČEVANJE,,"5,07 €/h neto",MARIBOR,Podjetje potrebuje študenta/ko za poučevanje nemščine. Prijave sprejemajo do 31. 10. 2019., 1 , PO DOGOVORU , Po dogovoru, 307702 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,,"4,22 €/h neto",RADOVLJICA - AVTOCESTA,"Delo v trgovini in strežba v lokalu na avtocestnem bencinskem servisu. Pogoji: starost nad 18 let, smisel za timsko delo, prijaznost in skrb za čistočo. Za nočno delo je plačilo 5,50 €/h bruto. Pri plači se upošteva tudi stimulacija.", 1 , PO DOGOVORU , Izmensko, 307697 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,00 €/h neto",LJUBLJANA,"Kavarna in čokoladnica vabi, da se pridružite ekipi izjemnih baristov in natakarjev. Opis dela: prevzemanje naročil in strežba gostom, skrb za kakovostno in ažurno postrežbo, svetovanje gostom pri izbiri ter vzdrževanje reda in čistoče. Delali boste v odličnih pogojih, brez nočnega dela in z možnostjo, da svoje znanje nadgradite. Interesenti naj pošljejo vlogo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Izmensko, 307696 , začasno in občasno delo
PROJEKTIRANJE,,"6,00 €/h neto",LJUBLJANA,"Podjetje išče študenta elektrotehnike. Delo obsega izdelavo načrtov, shem, tekstualnega dela in zlaganje načrtov.  Pogoj je osnovno znanje Acad-a, MS office. Sčasoma možnost večje urne postavke.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307690 , začasno in občasno delo
ČIŠČENJE,,"5,00 €/h neto",INDUSTRIJSKA CONA KOMENDA,Čiščenje (pranje in sesanje) kombijev in kamionov ob sobotah ter pranje in čiščenje orodja. Vsaka sobota od 7 oz. 8 ure zjutraj dalje., 1 ," DLJE ČASA (OBČASNO), VSAKA SOBOTA ", Dopoldan, 307689 , začasno in občasno delo
PRODAJA,,"5,07 €/h neto",KAMNIK (QLANDIA),"Aktivna prodaja pakiranih slaščic, delo z blagajno in strankami. Zahtevana je prodajno usmerjena komunikativnost - doseganje plana prodaje. Gre za  prodajo v popoldanskem času., tudi vsako drugo soboto.", 2 , PO DOGOVORU , Popoldan, 307688 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",LJUBEČNA,"Podjetje potrebuje polnoletno, vestno in komunikativno osebo za delo in pomoč v strežbi. Izkušnje niso pogoj za opravljanje dela. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI ", Izmensko, 307687 , začasno in občasno delo
POMOČ V KUHINJI,,"5,50 €/h neto",LJUBLJANA,"Iščejo osebo za  pomoč v kuhinji, kuharskega pomočnika. Pogoj so izkušnje z delom v kuhinji. Zaželeno: izobrazba, smer gostinstvo - kuhar.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 307686 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,13 €/h neto",KRANJ,"Podjetje, ki se ukvarja z obdelavo kovin in proizvodnjo plastike išče osebo za delo v proizvodnji. Plačilo za popoldansko in nočno delo je višje.", 2 , PO DOGOVORU , Izmensko, 307685 , začasno in občasno delo
RAZVOZ,DOSTAVA HRANE,"5,00 €/h neto",LJUBLJANA,Podjetje išče osebo za razvoz hrane. Pogoj: polnoletnost in izpit B kategorije. Za več informacij pokliči., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307673 , začasno in občasno delo
BLAGAJNIK,PRODAJA KART,"4,65 €/h neto",KRANJSKA GORA,Podjetje išče osebe za prodajo smučarskih vozovnic. Podjetje plača tudi polovico stroškov prevoza., 10 , ZIMSKA SEZONA , Dopoldan, 307672 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,50 €/h neto",LJUBLJANA CENTER,"Pomoč pri strežbi na hotelskih zajtrkih in občasno na dogodkih. Zaželene so izkušnje v strežbi, prijaznost, urejenost, pozitiven odnos do ljudi in do dela in predvsem ljubezen do gostinstva. Obvezno znanje angleščine oz. vsaj enega tujega jezika. Poleg plačila je zagotovljen tudi topel obrok.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 307670 , začasno in občasno delo
VULKANIZERSKA DELA,DELO V DELAVNICI,"5,85 €/h neto",SLOVENSKA BISTRICA,Podjetje potrebuje osebo za delo v vulkanizerski delavnici. Predhodno znanje ni potrebno., 1 , PO DOGOVORU , Izmensko, 307663 , začasno in občasno delo
PROMOCIJA,PRODAJA,PO DOGOVORU,LJUBLJANA - CENTER OZ. NA TERENU PO SLOVENIJI,"Iščejo študentko ali študenta - absolventa angleškega jezika, za pomoč pri izvajanju promocijskih in prodajnih aktivnosti na področju učnih gradiv za angleški jezik. Pogoj za prijavo je poleg znanja angleščine: veselje do dela na terenu ( pretežno po šolah ), samoiniciativnost, urejenost, komunikacijske sposobnosti ter vozniški izpit in lastni prevoz. Prijave s CV pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307662 , začasno in občasno delo
ZDRAVSTVENA NEGA,,"6,00 €/h neto",LJUBLJANA,Podjetje vabi študente/ke zdravstvene nege za delo nege in oskrbe na domu. Pogoja sta starost nad 18 let in vozniško dovoljenje B kategorije., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307657 , začasno in občasno delo
PROGRAMIRANJE,,PO PROJEKTU,MARIBOR,Razvoj spletnih aplikacij. Študent/ka zaključnih letnikov oz. absolvent/ka. Potrebno veselje do iskanja rešitev in posluh za potrebe uporabnika. Delo s tujimi naročniki. Delo na platformi Microsoft .NET (C#) in podatkovne baze Microsoft SQL. Vsa navedena znanja niso pogoj za prijavo. Pogoj je pripravljenost na intenzivno učenje. Z možnostjo zaposlitve., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307654 , začasno in občasno delo
STREŽBA,,"5,92 €/h neto",LJUBLJANA,"Nočno delo v strežbi, ob petkih in sobotah. Pogoji: starost nad 19 let, odgovornost, izkušnje in znanje slovenskega jezika. Po dogovoru je možno delo tudi med tednom. Za prijavo pokliči.", 2 , DLJE ČASA (OBČASNO) , Med vikendom, 307649 , začasno in občasno delo
DELO V KUHINJI,,"5,00 €/h neto",LJUBLJANA CENTER,"Delo v kuhinji, fast food. Za več informacij pokliči.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307648 , začasno in občasno delo
INVENTURA,,"4,65 €/h neto",LJUBLJANA BTC,"Pomoč pri pripravi za inventuro in pri inventuri. Začetek takoj, do približno 22. novembra. Pokliči", 2 , DO PREDVIDOMA 22. 11. , Izmensko, 307645 , začasno in občasno delo
POMOČ PRI PRODAJI,,"6,00 €/h neto",MARIBOR,"Pomoč pri prodaji smučarske opreme v popoldanskem času in med vikendi v športnem kolektivu. Zaželene so izkušnje s prodajo in svetovanjem. Samostojnost, komunikativnost, visoka motiviranost, timska naravnanost, fleksibilnost in znanje smučanja, bordanja.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307644 , začasno in občasno delo
POMOČ PRI PRODAJI,,"6,00 €/h neto",KOPER,"Pomoč pri prodaji smučarske opreme v popoldanskem času in med vikendi v športnem kolektivu. Zaželene so izkušnje s prodajo in svetovanjem. Samostojnost, komunikativnost, visoka motiviranost, timska naravnanost, fleksibilnost in znanje smučanja, bordanja.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307642 , začasno in občasno delo
POMOČ PRI PRODAJI,,"6,00 €/h neto",CELJE,"Pomoč pri prodaji smučarske opreme v popoldanskem času in med vikendi v športnem kolektivu. Zaželene so izkušnje s prodajo in svetovanjem. Samostojnost, komunikativnost, visoka motiviranost,timska naravnanost, fleksibilnost in znanje smučanja, bordanja.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307641 , začasno in občasno delo
POMOČ PRI PRODAJI,,"6,00 €/h neto",LJUBLJANA,"Pomoč pri prodaji smučarske opreme v popoldanskem času in med vikendi v športnem kolektivu. Zaželjene so izkušnje s prodajo in svetovanjem. Samostojnost, komunikativnost, visoka motiviranost, timska naravnanost, fleksibilnost in znanje smučanja, bordanja.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307638 , začasno in občasno delo
POMOČ PRI PRODAJI,,"6,00 €/h neto",KRANJ,"Pomoč pri prodaji smučarske opreme v popoldanskem času in med vikendi v športnem kolektivu. Zaželene so izkušnje s prodajo in svetovanjem. Samostojnost, komunikativnost, visoka motiviranost,timska naravnanost, fleksibilnost in znanje smučanja, bordanja.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307637 , začasno in občasno delo
NEGOVANJE,,"6,00 €/h neto",LUCIJA,Podjetje išče kandidata/ko za pomoč pri oskrbi starejših ljudi. Pogoja sta polnoletnost in končano šolanje iz zdravstvene smeri., 2 , DLJE ČASA (OBČASNO) , Izmensko, 307635 , začasno in občasno delo
PRODAJA,,"6,00 €/h neto","LJUBLJANA BTC CITY, DVORANA A","Podjetje potrebuje osebo za samostojno delo v trgovini z moškimi oblačili. Od kandidata/ke se pričakuje odgovornost, komunikativnost, občutek za delo z ljudmi ter starost nad 20 let. Zaželene so izkušnje. Pošljite CV z izkušnjami na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307631 , začasno in občasno delo
REŠEVALEC/KA IZ VODE,,"6,40 €/h neto",SEVNICA,Zavod za naslednjo sezono išče reševalca iz vode z opravljeno licenco. Dela se na bazenu. V kolikor oseba še nima licence in si jo želi pridobiti s pomočjo zavoda KŠTM pošljite prošnjo na e-naslov ali jih pokličite. Zahteva se polnoletnost in odgovornost., 2 ," JUNIJ, JULIJ,  AVGUST 2020 ", Izmensko, 307630 , začasno in občasno delo
DELO V SKLADIŠČU,,"6,00 €/h neto",LJUBLJANA,"V enem izmed vodilnih ponudnikov logističnih storitev, iščejo resne in polnoletne kandidate za delo v skladišču. Delo poteka med tednom in soboto dopoldan oz. po dogovoru s kandidatom in obsega pripravo blaga po nalogih. Kandidatom, ki se bodo izkazali, je na voljo tudi možnost dolgoročne zaposlitve.", 10 , DLJE ČASA (OBČASNO) , Izmensko, 307624 , začasno in občasno delo
SOBAR/ICA,,"5,00 €/h neto",DOL PRI LJUBLJANI,"Podjetje potrebuje zanesljivo osebo za čiščenje. Izkušnje niso pogoj. Delo obsega pretežno pospravljanje hotelskih sob, recepcijo in strežbo zajtrkov po dogovoru.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307623 , začasno in občasno delo
DELO V DELAVNICI,,"4,80 €/h neto",ŠENČUR,"Podjetje išče osebo za delo v proizvodnji poliestrskih izdelkov: brušenje, nanašanje materialov v kalupe, embaliranje. Zanesljivost, resnost, želja do dela. Prijave pošljite na email naslov. Pogoj je starost nad 18 let.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307620 , začasno in občasno delo
VZDRŽEVANJE,,PO DOGOVORU,PREBOLD,"Iščejo osebo za pomoč pri vzdrževalnih delih (hišna opravila, beljenje, barvanje, vzdrževanje stavbe, elektro dela, ...). Pogoj je starost nad 18 let. Pričetek dela je takoj in bo potekalo nekje do konca leta, po dogovoru lahko tudi dlje. Delovni čas je po dogovoru.", 1 ," VSAJ DO 31.12.2019, PO DOGOVORU DLJE ", Po dogovoru, 307619 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",MARIBOR,"Iščejo prijazno osebje za strežbo. Delo poteka med tednom in ob vikendih, po dogovoru. Izkušnje so zaželene, niso pa pogoj. Pogoja sta dobra volja in veselje do dela z ljudmi.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307613 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",MARIBOR,"Delo v strežbi hrane in pijače. Zaželena je starost nad 18 let. Delo je raznoliko, odvisno od prometa.", 1 , PO DOGOVORU , Po dogovoru, 307612 , začasno in občasno delo
GRADBENA DELA,FIZIČNA DELA,"6,76 €/h neto",MAREZIGE,Podjetje išče osebo za pomoč pri gradbenih delih. Pogoj je starost nad 18 let. Prevoz iz Kopra do Marezig urejen., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307611 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,13 €/h neto",DORFARJE,Podjetje išče osebo za delo v proizvodnji predpripravljenih jedi., 1 , DLJE ČASA (OBČASNO) , Izmensko, 307609 , začasno in občasno delo
PREVAJANJE,,"5,92 €/h neto",GROSUPLJE Z OKOLICO,"Potrebujejo študenta/ko za prevajanje iz angleškega v slovenski, hrvaški in bosanski jezik. Prevajanje navodil, opisov produktov in drugih dokumentov. Produkti za katere se pripravlja prevode in opise: mali gospodinjski aparati, orodja in pribor.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307603 , začasno in občasno delo
ČIŠČENJE,,"4,13 €/h neto",VUKOVSKI DOL,"Čiščenje sob, kopalnic stanovalcev, skupnih prostorov, odnašanje smeti. Pogoji: empatija do starejših, fleksibilnost, komunikativnost.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307602 , začasno in občasno delo
VRTNARSKA DELA,UREJANJE OKOLICE,"5,51 €/h neto",ARBORETUM VOLČJI POTOK,"Podjetje potrebuje osebe za fizična dela na terenu pri strankah (pletje, urejanje zelenic, vzdrževalna dela....).", 2 , DO 30.11.2019 , Dopoldan, 307601 , začasno in občasno delo
DELO V PROIZVODNJI,,"6,00 €/h neto",IHAN,Podjetje potrebuje resno in natančno osebo staro nad 20 let za delo v proizvodnji., 1 , DO KONCA LETA 2019 , Po dogovoru, 307592 , začasno in občasno delo
STREŽBA,,"7,00 €/h neto",LJUBLJANA,Strežba pijače. Pogoj so izkušnje pri delu v šanku., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307591 , začasno in občasno delo
VADITELJ,,"10,00 €/h neto",GROSUPLJE,"Atletski klub išče vaditelja atletike. Pogoji: starost nad 18 let ter športna, atletska oseba.", 1 , ŠOLSKO LETO 2019/20 , Popoldan, 307583 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA,"Iščeš delo z najboljšimi sodelavci?  V najboljšem lokalu (kavarna&sladolednica) s super noro energijo? Iščeš delo za dlje časa in želiš biti nagrajen za tvoje vestno delo? Hočeš delati v centru mesta? Če si odgovoril/a z vsaj 3 da, te vabijo, da se jim pridružiš.", 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 307581 , začasno in občasno delo
DELO S STRANKAMI,GARDEROBER-KA,"4,13 €/h neto",MARIBOR LENT,Podjetje potrebuje več oseb za delo v garderobi. Delo poteka od 20. do 2. ure zjutraj (ob dogodkih). Pogoj je starost nad 18 let., 1 , OB DOGODKIH , Popoldan, 307574 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",KOPER,Podjetje išče osebo za strežbo. Pogoj je starost nad 18 let in izkušnje. Nudijo tedensko plačilo. Dela se predvsem med vikendi., 1 , DLJE ČASA (OBČASNO) , Izmensko, 307573 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,22 €/h neto",LJUBLJANA,Podjetje išče osebo za delo na recepciji. Za več informacij pokliči ali pošlji mail., 2 , DLJE ČASA (OBČASNO) , Izmensko, 307568 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",LJUBLJANA RUDNIK,"Pomoč pri prodaji v trgovini s trendovskimi oblačili. Želijo osebo, ki ima več časa za delo. Delovni čas je fleksibilen.", 5 , DLJE ČASA (OBČASNO) , Izmensko, 307566 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LOKROVEC TENIS IGRIŠČE,"Podjetje potrebuje pomoč v gostinskem lokalu športnega društva, ki se ukvarja s trženjem teniških igrišč. Gre večinoma za stalne stranke pred ali po igri tenisa. Iščejo zanesljivo osebo za daljši čas, ki bi poleg dela v strežbi rad/a dobil izkušnje iz organizacije in vodenja teniških tekmovanj ter upravljanja gostinskega lokala. Oseba naj bo komunikativna, prijazna in prilagodljiva, z lastnim prevozom in iz okolice Celja.", 1 ," DLJE ČASA , PO DOGOVORU ", Popoldan, 307561 , začasno in občasno delo
POUČEVANJE,,"6,97 €/h neto",LJUBLJANA,"Jezikovni center išče učitelja nizozemščine za poučevanje odraslih v Ljubljani. Pogoji: izkušnje s poučevanjem odraslih, zanesljivost, komunikativnost in zanesljivost. Plačilo je 8,25 €  bruto na šolsko uro. Predstavitev z opisom izkušenj pošljite na kontaktni e-mail, v polje. Zadeva pa napišite: poučevanje nizozemskega jezika.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307558 , začasno in občasno delo
TELEFONSKI MARKETING,,"4,50 €/h neto",MARIBOR,"Sprejemanje klicev in naročil za prehranska dopolnila in izdelke osebne nege. Klicanje obstoječih strank, z namenom prodaje izdelkov. Izkušnje z delom v klicnem centru oziroma pospeševanju prodaje so zaželene, niso pa pogoj.", 3 , DLJE ČASA (OBČASNO) , Dopoldan, 307554 , začasno in občasno delo
STREŽBA,,"6,20 €/h neto",LJUBLJANA CENTER,Delo je v nočnem času in tudi v dnevnem. Potrebne so izkušnje. Pokliči in se dogovori za razgovor. Zagotavljajo redno plačilo., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307552 , začasno in občasno delo
DELO NA RECEPCIJI,,"6,00 €/h neto",TOLMIN,"Delo na recepciji poteka pretežno med vikendi, po dogovoru pa lahko tudi med tednom. Iščejo zanesljivega študenta/ko, ki si želi dolgotrajnejšega sodelovanja.", 1 ," PRETEŽNO OB VIKENDIH, PO DOGOVORU PA LAHKO TUDI PR ", Po dogovoru, 307546 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",NOVA GORICA,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako drugo nedeljo. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: NOVA GORICA. Pogoj je starost nad 18 let.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 307545 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",NOVO MESTO,"Podjetje išče komunikativno in vedoželjno osebo za delo v knjigarni. Pogoj je starost nad 18 let. V kolikor si želite delati v prijetnem in velikopoteznem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: NOVO MESTO.", 1 , DLJE ČASA (OBČASNO) , Med vikendom, 307544 , začasno in občasno delo
TELEFONIST,,"4,13 €/h neto",LJUBLJANA,Podjetje prejme v svoje vrste energične in komunikativne osebe za dogovarjanje terminov (ne gre za prodajo). Pogoj je starost nad 20 let. Izkušnje niso potrebne. Možnost napredovanja in redne zaposlitve. Prošnjo pošlji na mail., 5 , DLJE ČASA (OBČASNO) , Po dogovoru, 307543 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"4,70 €/h neto",LJUBLJANA ČRNUČE,"Potrebujejo študenta/-tko za pomoč v administraciji: urejanje podatkov, kreiranje novih kupcev v sistemu, pomoč in podpora vodjem posameznih oddelkov itd.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307537 , začasno in občasno delo
STREŽBA,,"5,70 €/h neto",LJUBLJANA,"Iščejo več oseb z izkušnjami za delo v strežbi v manjšem lokalu. Delo poteka v dveh izmenah, po dve osebi skupaj, med ponedeljkom in petkom. Vikendi so prosti. Nudijo redno plačilo in stimulacijo za pridnost.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 307536 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,65 €/h neto",LJUBLJANA RUDNIK,"Zlaganje polic, urejanje trgovine, deklariranje artiklov, pomoč strankam na oddelku z vini. Dela se tudi ob vikendih. Pogoj je znanje slovenskega jezika, polnoletnost, pripravljenost na dvigovanje težjih bremen. Plačilo je stimulativno od 5,5  do 6 €/h bruto. Prijavo pošljite na e-naslov ali pokličite.", 4 , DO VKLJUČNO 3.11.2019 , Po dogovoru, 307533 ,
POMOČ PRI PRODAJI,,"4,13 €/h neto","ŠENTJANŽ, TRŽIŠČE","Za pomoč pri prodaji v živilski trgovini potrebujejo polnoletno osebo. Izkušnje niso potrebne, potreben je lasten prevoz. Pridnost je nagrajena z višjo urno postavko.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307526 , začasno in občasno delo
ELEKTROTEHNIČNA DELA,,"5,00 €/h neto",LJUBLJANA VIČ,"Delo s področja elektrotehnike in mehatronike zajema montažo ter zagon sistemov tehničnega varovanja. Pri tem je potrebno poznavanje računalništva in elektrotehnike, prepoznavanje in odpravljanje napak ob servisu sistemov teh. varovanja na terenu in v delavnici. Delo zajema tudi občasna elektroinštalacijska dela ter občasna dežurstva.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 307523 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,65 €/h neto",BLED,"Delo v proizvodnji notranjih vrat: kontrola, montaža okovja in embaliranje kril. Plačilo: 5,50 €/h bruto + prevoz in malica.", 2 , 1 MESEC , Izmensko, 307517 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",MARIBOR,"Podjetje potrebuje osebo za strežbo v baru. Lokal je odprt od 6. do 21. ure, nedelje od 8. do 14. ure. Pogoji: starost nad 18 let, komunikativnost in delavnost. Zaželene so izkušnje. Plačilo je 5,92 € bruto/h + stimulacija.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307514 , začasno in občasno delo
STROKOVNO DELO,,"6,00 €/h neto",LESCE,"Iščejo študenta/ko, ki bi jim pomagal v oddelku prodaje za tuje trge. Kandidat naj bo ekonomist, ki ga zanima tehnika ali tehnik, ki ga zanima ekonomija/prodaja. Delo poteka na 3D programu (Inventor) in vključuje preračune linearnih sistemov, izračune na področju krmilne tehnike in seveda tudi bolj zabavne stvari. Če vas zanima stalno izobraževanje in izpopolnjevanje na področju industrijske avtomatizacije, se jim predstavite. Veseli bodo vaše vloge!", 1 , PO DOGOVORU , Dopoldan, 307511 , začasno in občasno delo
PREVAJANJE,,"7,00 €/h neto",PO SLOVENIJI,Iščejo študente s pisnim in govornim znanjem madžarskega  jezika za kontakt s strankami preko maila in socialnih omrežij. Časovni okvir po dogovoru., 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 307510 , začasno in občasno delo
SERVISIRANJE RAČUNALNIŠKE OPREME,,"5,07 €/h neto",MARIBOR CENTER,"Servisiranje in vzdrževanje računalniške opreme, tehnična podpora, pisarniška dela. Zahtevana znanja: Windows, SQL, HTML, podatkovne baze, računalniški programi, računalniška omrežja, znanje angleškega jezika. Pogoji: izpit B-kategorije in lastni prevoz. CV-je pošljite na e-mail.", 1 , PO DOGOVORU , Po dogovoru, 307506 , začasno in občasno delo
