naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela
VLAGANJE,,"4,13 €/h neto",LJUBLJANA VIČ,"Dela se v nedeljo od 17. do 23. ure, ali v ponedeljek od 7. do 15.ali popoldan od 15. do 23. ure. Če delaš dopoldan, ni važna starost.", 5 , 1 DAN , Po dogovoru, 308929 ,
STREŽBA,,"6,00 €/h neto",LJUBLJANA CENTER,Potrebujejo polnoletno osebo za strežbo hrane in pijače. Pogoja sta znanje angleškega jezika in izkušnje pri tovrstnem delu. Delovnik po dogovoru., 1 , DLJE ČASA (OBČASNO) , Izmensko, 308928 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,00 €/h neto",LJUBLJANA - RUDNIK,"Podjetje išče osebo za administrativna dela. Delo je vezano na logistiko - preverjanje računov in transportne dokumentacije, priprava izhodnih računov. Pogoji: starost nad 18 let in obvezno znanje angleščine. Prijave sprejemajo na email.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308927 , začasno in občasno delo
DELO V AVTOPRALNICI,,"4,65 €/h neto",MARIBOR STUDENCI,"Podjetje potrebuje zanesljivega/o, pridnega/o in delavnega/o študenta/-ko za pomoč v avtomatski avtopralnici. Delo poteka po dogovoru, tako med tednom, kakor tudi čez vikende. Možnost stimulacije za dobro opravljeno delo.", 2 , PO DOGOVORU , Po dogovoru, 308926 , začasno in občasno delo
DELO V SKLADIŠČU,,"5,07 €/h neto",ZGORNJI BRNIK,"Podjetje potrebuje študenta/tko za enostavna fizična dela, razporejanje artiklov in paketov, ročno nakladanje in razkladanje kontejnerjev. Prijave sprejemajo na email naslov.", 4 , DALJ ČASA (OBČASNO) , Dopoldan, 308925 , začasno in občasno delo
BLAGAJNIK,,"5,07 €/h neto",LJUBLJANA RUDNIK,Mednarodna trgovska veriga išče osebe za delo na blagajni. Dela se med tednom in tudi ob vikendih., 6 , DLJE ČASA (OBČASNO) , Izmensko, 308923 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,00 €/h neto",LJUBLJANA,Za prepisovanje magnetogramov v podjetju potrebujejo dve polnoletni osebi. Kandidati morajo imeti znanje 10-prstnega slepega tipkanja. Zaželeno je doseganje 250 udarcev/minuto ali več. V sklopu  izbire kandidatov bo opravljen tudi preizkus hitrega tipkanja. Prijave z življenjepisom pošljite na e-mail naslov., 2 , DO KONCA LETA 2019 , Dopoldan, 308922 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,00 €/h neto",VRHNIKA,Podjetje potrebuje polnoletnega kandidata z znanjem hitrega tipkanja za prepisovanje posnetkov in tipkanja po nareku. Delo bo obsegalo tudi pomoč v administraciji in delo s pošto. Možnost pričetka dela takoj. Prijave z življenjepisom posredujte po e-mailu., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308921 , začasno in občasno delo
DELO V SKLADIŠČU,,"4,82 €/h neto",ČRNA PRI KAMNIKU,"Podjetje potrebuje polnoletnega kandidata za delo v skladišču (priprava blaga ...) ter za delo prodajnega potnika po terenu. Pogoj: izpit B kategorije. Delo je večinoma dopoldansko, lahko kdaj tudi popoldansko (po dogovoru). Možnost kasnejšega dolgoročnega sodelovanja.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308920 , začasno in občasno delo
LAŽJA FIZIČNA DELA,,"8,00 €/h neto",LJUBLJANA,"Lažja fizična dela. Začetek je zjutraj, okrog 8. ure, za predvidoma 8 do 10 ur. Pokliči!", 1 ," ČETRTEK, 31. 10. IN SOBOTO, 2. 11. 2019 ", Dopoldan, 308919 ,
KNJIGOVODSKA DELA,LAŽJA ADMINISTRATIVNA DELA,"4,13 €/h neto",ŠKOFJA LOKA,Podjetje išče kandidata za pomoč v računovodskem servisu. Zaželena je starost nad 20 let in odprtost za nova znanja ter učenje računovodskih osnov. Delo bo obsegalo knjiženje faktur in drugih dokumentov v računovodski program ter druga lažja administrativna dela., 1 , PO DOGOVORU , Dopoldan, 308918 , začasno in občasno delo
POMOČ PRI PRODAJI,,"5,50 €/h neto",LJUBLJANA,"Potrebujejo osebo za prodajo v trgovini s tekstilom, pakiranje naročil, sprejem blaga, nalaganje artiklov na spletno stran ter vse kar je potrebno za delovanje trgovine. Pogoji: izkušnje s prodajo, toplina za delo s strankami, zanesljivost in natančnost pri urejanju na spletni strani, komunikativnost in prijaznost. Delo bo potekalo med tednom 2 - 3 x dopoldne  in 1x popoldne. Skupno cca 15 ur.  Poleg urne postavke je še mesečna nagrada po prometu. Prijave sprejemajo na elektronski naslov.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308916 , začasno in občasno delo
SELITVE,,"5,00 €/h neto",LJUBLJANA,Pomoč pri selitvah pohištva. Pričetek dela  ob 8. uri. Pogoja sta zanesljivost in resnost ter ustrezna fizična moč., 3 , DLJE ČASA (OBČASNO) , Dopoldan, 308915 , začasno in občasno delo
DELO V PROIZVODNJI,DELO V SKLADIŠČU,"5,00 €/h neto",LJUBLJANA,Potrebujejo 10 natančnih oseb za delo v skladišču. Delo: lepljenje nalepk na škatlice. Delo traja 8 ur., 10 , OD 11.11.2019 DO 6.12.2019 , Dopoldan, 308914 ,
PRODAJA,,"5,00 €/h neto",PTUJ,"Mednarodno podjetje z več kot 25 letno tradicijo, ki trži priznane blagovne znamke, išče osebo za delo v trgovini (prodaja in skrb za urejenost trgovine). Pogoj je polnoletnost. Izkušnje z delom v trgovini so prednost. Delovnik je pretežno v popoldanskem času, oz. po dogovoru in potrebi. Urna postavka za nedelje je 7,10 € bruto (6 € neto). Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Popoldan, 308913 , začasno in občasno delo
TEHNIČNA POMOČ,DELO NA TERENU,"10,00 €/h neto",MARIBOR Z OKOLICO,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (tehnična pomoč). Pogoj je starost  nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.", 3 , DLJE ČASA (OBČASNO) , Med vikendom, 308911 , začasno in občasno delo
