naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa
POMOČ V TRGOVINI,ŠKOFJA LOKA, 3 , Po dogovoru, začasno in občasno delo, 308931 , PO DOGOVORU ,POMOČ V TRGOVINI,,"Pomoč pri prodaji kozmetike, tekstila in podobno. Možnost kasnejše redne zaposlitve.","4,89 €/h neto"
FIZIČNA DELA,LJUBLJANA, 2 , Dopoldan,, 308930 ," 1 DAN, 4.11.2019 ",FIZIČNA DELA,,Prenos notranjih vrat. Delo bi potekalo cca 5 ur.,"6,00 €/h neto"
VLAGANJE,LJUBLJANA VIČ, 5 , Po dogovoru,, 308929 , 1 DAN ,VLAGANJE,,"Dela se v nedeljo od 17. do 23. ure, ali v ponedeljek od 7. do 15.ali popoldan od 15. do 23. ure. Če delaš dopoldan, ni važna starost.","4,13 €/h neto"
STREŽBA,LJUBLJANA CENTER, 1 , Izmensko, začasno in občasno delo, 308928 , DLJE ČASA (OBČASNO) ,STREŽBA,,Potrebujejo polnoletno osebo za strežbo hrane in pijače. Pogoja sta znanje angleškega jezika in izkušnje pri tovrstnem delu. Delovnik po dogovoru.,"6,00 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA - RUDNIK, 1 , Dopoldan, začasno in občasno delo, 308927 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Podjetje išče osebo za administrativna dela. Delo je vezano na logistiko - preverjanje računov in transportne dokumentacije, priprava izhodnih računov. Pogoji: starost nad 18 let in obvezno znanje angleščine. Prijave sprejemajo na email.","5,00 €/h neto"
DELO V AVTOPRALNICI,MARIBOR STUDENCI, 2 , Po dogovoru, začasno in občasno delo, 308926 , PO DOGOVORU ,DELO V AVTOPRALNICI,,"Podjetje potrebuje zanesljivega/o, pridnega/o in delavnega/o študenta/-ko za pomoč v avtomatski avtopralnici. Delo poteka po dogovoru, tako med tednom, kakor tudi čez vikende. Možnost stimulacije za dobro opravljeno delo.","4,65 €/h neto"
DELO V SKLADIŠČU,ZGORNJI BRNIK, 4 , Dopoldan, začasno in občasno delo, 308925 , DALJ ČASA (OBČASNO) ,DELO V SKLADIŠČU,,"Podjetje potrebuje študenta/tko za enostavna fizična dela, razporejanje artiklov in paketov, ročno nakladanje in razkladanje kontejnerjev. Prijave sprejemajo na email naslov.","5,07 €/h neto"
BLAGAJNIK,LJUBLJANA RUDNIK, 6 , Izmensko, začasno in občasno delo, 308923 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,Mednarodna trgovska veriga išče osebe za delo na blagajni. Dela se med tednom in tudi ob vikendih.,"5,07 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 308922 , DO KONCA LETA 2019 ,ADMINISTRATIVNA DELA,,Za prepisovanje magnetogramov v podjetju potrebujejo dve polnoletni osebi. Kandidati morajo imeti znanje 10-prstnega slepega tipkanja. Zaželeno je doseganje 250 udarcev/minuto ali več. V sklopu  izbire kandidatov bo opravljen tudi preizkus hitrega tipkanja. Prijave z življenjepisom pošljite na e-mail naslov.,"5,00 €/h neto"
ADMINISTRATIVNA DELA,VRHNIKA, 1 , Dopoldan, začasno in občasno delo, 308921 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,Podjetje potrebuje polnoletnega kandidata z znanjem hitrega tipkanja za prepisovanje posnetkov in tipkanja po nareku. Delo bo obsegalo tudi pomoč v administraciji in delo s pošto. Možnost pričetka dela takoj. Prijave z življenjepisom posredujte po e-mailu.,"5,00 €/h neto"
DELO V SKLADIŠČU,ČRNA PRI KAMNIKU, 1 , Dopoldan, začasno in občasno delo, 308920 , DLJE ČASA (OBČASNO) ,DELO V SKLADIŠČU,,"Podjetje potrebuje polnoletnega kandidata za delo v skladišču (priprava blaga ...) ter za delo prodajnega potnika po terenu. Pogoj: izpit B kategorije. Delo je večinoma dopoldansko, lahko kdaj tudi popoldansko (po dogovoru). Možnost kasnejšega dolgoročnega sodelovanja.","4,82 €/h neto"
LAŽJA FIZIČNA DELA,LJUBLJANA, 1 , Dopoldan,, 308919 ," ČETRTEK, 31. 10. IN SOBOTO, 2. 11. 2019 ",LAŽJA FIZIČNA DELA,,"Lažja fizična dela. Začetek je zjutraj, okrog 8. ure, za predvidoma 8 do 10 ur. Pokliči!","8,00 €/h neto"
KNJIGOVODSKA DELA,ŠKOFJA LOKA, 1 , Dopoldan, začasno in občasno delo, 308918 , PO DOGOVORU ,KNJIGOVODSKA DELA,LAŽJA ADMINISTRATIVNA DELA,Podjetje išče kandidata za pomoč v računovodskem servisu. Zaželena je starost nad 20 let in odprtost za nova znanja ter učenje računovodskih osnov. Delo bo obsegalo knjiženje faktur in drugih dokumentov v računovodski program ter druga lažja administrativna dela.,"4,13 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 308916 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Potrebujejo osebo za prodajo v trgovini s tekstilom, pakiranje naročil, sprejem blaga, nalaganje artiklov na spletno stran ter vse kar je potrebno za delovanje trgovine. Pogoji: izkušnje s prodajo, toplina za delo s strankami, zanesljivost in natančnost pri urejanju na spletni strani, komunikativnost in prijaznost. Delo bo potekalo med tednom 2 - 3 x dopoldne  in 1x popoldne. Skupno cca 15 ur.  Poleg urne postavke je še mesečna nagrada po prometu. Prijave sprejemajo na elektronski naslov.","5,50 €/h neto"
SELITVE,LJUBLJANA, 3 , Dopoldan, začasno in občasno delo, 308915 , DLJE ČASA (OBČASNO) ,SELITVE,,Pomoč pri selitvah pohištva. Pričetek dela  ob 8. uri. Pogoja sta zanesljivost in resnost ter ustrezna fizična moč.,"5,00 €/h neto"
DELO V PROIZVODNJI,LJUBLJANA, 10 , Dopoldan,, 308914 , OD 11.11.2019 DO 6.12.2019 ,DELO V PROIZVODNJI,DELO V SKLADIŠČU,Potrebujejo 10 natančnih oseb za delo v skladišču. Delo: lepljenje nalepk na škatlice. Delo traja 8 ur.,"5,00 €/h neto"
PRODAJA,PTUJ, 1 , Popoldan, začasno in občasno delo, 308913 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ",PRODAJA,,"Mednarodno podjetje z več kot 25 letno tradicijo, ki trži priznane blagovne znamke, išče osebo za delo v trgovini (prodaja in skrb za urejenost trgovine). Pogoj je polnoletnost. Izkušnje z delom v trgovini so prednost. Delovnik je pretežno v popoldanskem času, oz. po dogovoru in potrebi. Urna postavka za nedelje je 7,10 € bruto (6 € neto). Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","5,00 €/h neto"
TEHNIČNA POMOČ,MARIBOR Z OKOLICO, 3 , Med vikendom, začasno in občasno delo, 308911 , DLJE ČASA (OBČASNO) ,TEHNIČNA POMOČ,DELO NA TERENU,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (tehnična pomoč). Pogoj je starost  nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.","10,00 €/h neto"
MONTAŽA,MARIBOR Z OKOLICO, 3 , Med vikendom, začasno in občasno delo, 308910 , PO DOGOVORU ,MONTAŽA,DELO NA TERENU,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (montaža). Pogoj je starost nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.","10,00 €/h neto"
STREŽBA HRANE IN PIJAČE,PTUJ, 2 , Izmensko, začasno in občasno delo, 308909 ," DLJE ČASA (OBČASNO), PO POTREBI ",STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje polnoletni, vestni in komunikativni osebi za delo in pomoč v strežbi hrane in pijač. Pogoj; izkušnje pri podobnih delih. Delo poteka v dopoldankem in popoldanskem času, prav tako ob vikendih, po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.","4,50 €/h neto"
PROMOCIJA,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308906 , DLJE ČASA (OBČASNO) ,PROMOCIJA,,"Podjetje išče osebo za promocijo izdelka na športnih in ostalih dogodkih. Prednost imajo kandidati/ke dodiplomskega študija. Urnik dela je znan za mesec dni vnaprej in je fleksibilen. Delo poteka vsaj 7 krat na mesec. Uporablja se službeno vozilo. Pogoji: izpit B kategorije, družabnost in tekoče znanje slovenskega jezika. Pošlji CV na mail.","5,49 €/h neto"
POMOČ PRI PRODAJI,MARIBOR, 3 , Izmensko, začasno in občasno delo, 308904 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako drugo nedeljo.  Pogoj je starost nad 20 let. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: MARIBOR.","4,50 €/h neto"
POMOČ PRI PRODAJI,KOPER, 2 , Izmensko, začasno in občasno delo, 308903 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako tretjo nedeljo. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: KOPER.","4,50 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308902 , DLJE ČASA (OBČASNO)/2-3X NA TEDEN ,ADMINISTRATIVNA DELA,,"Delo v podjetju, ki se ukvarja z letalskimi prevozi. Delo v administraciji, delo s strankami, planiranje, trženje, urejanje letalske dokumentacije in priprava letal. Zahtevano je znanje angleškega jezika in osnovna računalniška znanja. Oseba mora biti zanesljiva, natančna. Prijave s svojim CV-jem pošljite po e-pošti.","5,00 €/h neto"
MARKETING,KAMNIK, 1 , Dopoldan, začasno in občasno delo, 308901 , DLJE ČASA (OBČASNO) ,MARKETING,ASISTENT,"Iščejo asistenta v marketingu za italijanski trg. Ali imaš - visoko motivacijo in strast do prevajanja, družbenih omrežij in online oglaševanja? Odlično pisno in ustno znanje italijanskega jezika (C1 ali C2)? Smisel za pripravo vizualnih in tekstovnih oglasov? Kreativno žilico in smisel za postavljanje celovitih digitalnih kampanj? V tem primeru pošlji CV na e-naslov.","5,50 €/h neto"
KLICNI CENTER,KAMNIK, 1 , Dopoldan, začasno in občasno delo, 308900 , DLJE ČASA (OBČASNO) ,KLICNI CENTER,,"Potrebujejo osebo z odličnim znanjem italijanskega jezika (pisno in govorno) za delo v oddelku za podporo uporabnikom. Imate prijeten glas, občutek za ljudi, odlične komunikacijske sposobnosti in sposobnost prilagajanja komunikacijskemu nivoju stranke? V tem primeru jim pošljite CV na e-naslov. Ponujajo delo v prijetnem in urejenem kolektivu.","6,00 €/h neto"
POMOČ V STREŽBI,ŽIROVNICA, 1 , Izmensko, začasno in občasno delo, 308899 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Plačilo je od 5,5 do 7,5 € bruto/h. Pogoj je starost nad 18 let.","4,65 €/h neto"
POMOČ PRI PRODAJI,DOB, 1 , Po dogovoru, začasno in občasno delo, 308898 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Pomoč pri prodaji obutve. Pogoj je starost nad 18 let. Prijavo s kontaktnimi podatki pošljite na e-mail.,"4,22 €/h neto"
ADMINISTRATIVNA DELA,POSLOVALNICA TREBNJE, 1 , Po dogovoru, začasno in občasno delo, 308896 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Banka išče študenta/študentko za pregled, urejanje in skeniranje dokumentacije v poslovalnici. Pričetek dela čim prej. Pošljite CV na naveden elektronski naslov (+št. oglasa)..","4,23 €/h neto"
BLAGAJNIK,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308895 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,"Mednarodna trgovska veriga potrebuje polnoletno osebo za delo na blagajni in pomoč v trgovini. Ob nedeljah in praznikih je bruto urna postavka 9,18 €.","5,80 €/h neto"
STREŽBA,LJUBLJANA CENTER, 1 , Izmensko, začasno in občasno delo, 308894 , DLJE ČASA (OBČASNO) ,STREŽBA,,Potrebujejo polnoletno osebo za strežbo pijače in hrane. Izkušnje so zaželene.,"5,50 €/h neto"
BLAGAJNIK,LJUBLJANA FUŽINE, 2 , Dopoldan, začasno in občasno delo, 308893 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,"Podjetje išče urejeno, komunikativno in zanesljivo polnoletno osebo za blagajniško poslovanje. Prednost imajo osebe z že pridobljenimi izkušnjami pri tovrstnem delu. Prijave s CV-jem in opisom izkušenj sprejemajo na e-mail, s pripisom v zadevi: Razpis študenta/ke za delo v Ljubljani Fužine.","5,07 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308892 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri izvedbi projekta vzpostavitve NTO operativnega centra (operativno-administrativna pomoč = sledenje, posodabljanje časovnice aktivnosti, komunikacija s kadrovsko glede vseh on-boardingov, hiring postopkov, posodabljanje rednih poročil). Urna postavka od 5 do 6 € bruto. Prijavo s CV pošljite na e-naslov (obvezen pripis šifre dela).","4,22 €/h neto"
