naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
DELO S STRANKAMI,BRNIK, 1 , Po dogovoru, začasno in občasno delo, 308570 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,LAŽJA FIZIČNA DELA,"Iščejo študenta/ko za ovijanje potovalk na letališču. Delo je zanimivo in enostavno, urnik dela je po dogovoru. S kandidatom/ko si želijo daljšega sodelovanja. Prijavo pošljete na email.","4,50 €/h neto"
UREJANJE BESEDIL,"BREŽICE, KRŠKO", 1 , Po dogovoru, začasno in občasno delo, 308569 , PO DOGOVORU ,UREJANJE BESEDIL,INTELEKTUALNO DELO,"Delo: opraviti intervju z izbrano osebo in zapisati kratko zgodbo o izbranem doživetju. Kandidat naj prihaja iz okolice Krškega, Brežic in ima svoj prevoz in vozniški izpit. Želijo nekoga, ki ima pisateljske izkušnje. K vlogi priložite kakšno svojo zgodbo/delo. Plačilo: 11,83 €/h bruto za intervju + potni stroški (0,18 €/km), 25 €/stran kratke zgodbe.","10,00 €/h neto"
TRŽENJE,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 308567 , DO 11. 12. 2019 ,TRŽENJE,,"Tržnik za največji poslovni seminar (telefonsko klicanje obstoječih strank). Iščejo komunikativno, odgovorno in dinamično osebo za telefonsko trženje. Kliče se obstoječe stranke (pravne osebe), z namenom trženja decembrskega dogodka. Zaželene izkušnje na podobnih področjih. Glede na rezultate je možnost dodatne denarne nagrade. Pričetek dela ob 8.30 uri. Prijavo pošljite na e-naslov.","6,70 €/h neto"
PRODAJA,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308565 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Iščejo dinamično, zanesljivo in prijazno študentko/a za prodajo in urejanje polic v trgovini z darili in holističnimi izdelki. Iščejo osebo z razvitimi delovnimi navadami, veseljem za delo s strankami in smislom za aranžiranje. Za delo ob nedeljah je urna postavka 6 € bruto. Za uspešnost pri prodaji prejmete stimulacijo.","4,25 €/h neto"
LAŽJA FIZIČNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308568 , DLJE ČASA (OBČASNO) ,LAŽJA FIZIČNA DELA,,"Lažje fizično delo, ki obsega raznašanje materiala in hrane po oddelkih ter shranjevanje in zlaganje v temu primerne prostore. Pričetek dela je ob 7. uri zjutraj. Pošljite svoj CV na e-naslov.","5,07 €/h neto"
DELO V LOGISTIKI,BOŠTANJ - RADNA, 1 , Dopoldan, začasno in občasno delo, 308563 , DLJE ČASA (OBČASNO) ,DELO V LOGISTIKI,,"Potrebujejo osebo za opravljanje različnih pomožnih strokovnih del na področju logistike: planiranje odprem, spremljanje in potrjevanje naročil dobaviteljev, pomoč logistom pri uskladitvi zamud dobav,... Zaželena je logistična ali ekonomska smer študija. Zahteva se znanje ANG in programov MS Office. CV z motivacijskim pismom pošljite na e-naslov do 31.10.2019, s pripisom: Študent logistika- Sevnica.","4,73 €/h neto"
STROKOVNO DELO,BOŠTANJ - RADNA, 1 , Izmensko, začasno in občasno delo, 308561 , DLJE ČASA (OBČASNO) ,STROKOVNO DELO,TEHNOLOG,"Podjetje potrebuje osebo za pomoč na področju tehnologije (izvajanje testov, kontrol, meritev, priprava dokumentacije, planiranje, vodenje evidenc,..) Ponujajo priložnost za rast ter zanimivo in dinamično delo v avtoindustriji. Pogoji: študij strojništva, znanje ANG jezika ter znanje programov MS Office. CV z motivacijskim pismom pošljite na e-naslov do 31.10.2019 s pripisom: Študent tehnologija-Sevnica.","4,73 €/h neto"
POMOČ NA PODROČJU MARKETINGA,ŠENČUR, 1 , Dopoldan, začasno in občasno delo, 308560 , DLJE ČASA (OBČASNO) ,POMOČ NA PODROČJU MARKETINGA,,"Priprava materialov za dogodke in konference, priprava gradiv za treninge, delo z bazami podatkov. Stalna pomoč 1 dan/tedensko, večje število ur glede na potrebe.","5,07 €/h neto"
ČIŠČENJE,MENGEŠ, 2 , Dopoldan, začasno in občasno delo, 308559 , DLJE ČASA (OBČASNO) ,ČIŠČENJE,,"Občasna pomoč pri čiščenju prostorov podjetja. Začetek dela je ob 6:00, potem pa po dogovoru. Za mesec november pomoč potrebujejo takoj, in sicer za 3 tedne.","4,48 €/h neto"
DELO V KUHINJI,KAMNIK, 3 , Po dogovoru, začasno in občasno delo, 308558 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Iščejo študenta za pomoč zaposlenim, delo v kuhinji. Gre za sestavo burgerjev, delo na blagajni. Pogoj: resnost, polnoletnost.","5,66 €/h neto"
DELO NA TERENU,ZAGORJE Z OKOLICO, 1 , Izmensko, začasno in občasno delo, 308556 , PO DOGOVORU ,DELO NA TERENU,RAZVOZ HRANE,Razvoz hrane in pomoč v kuhinji. Pogoja sta starost nad 18 let in izpit B kategorije. Prijave sprejemajo na e-mail.,"4,13 €/h neto"
STREŽBA,LJUBLJANA VIČ, 1 , Izmensko, začasno in občasno delo, 308555 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Prijeten lokal išče osebo za delo v strežbi. Izkušnje niso potrebne, vse se da priučiti.","6,00 €/h neto"
BLAGAJNIK,SELNICA OB DRAVI, 1 , Izmensko, začasno in občasno delo, 308554 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,Delo na blagajni v trgovini z živili. Pogoj je starost nad 18 let.,"4,13 €/h neto"
PRODAJA,LJUBLJANA BTC, 2 , Izmensko, začasno in občasno delo, 308552 , DLJE ČASA (OBČASNO) ,PRODAJA,,Prodaja tekstilnih izdelkov priznane blagovne znamke. Zaželene so izkušnje s prodajo. Delo poteka tudi ob vikendih.,"5,00 €/h neto"
DELO V PROIZVODNJI,LOGATEC, 1 , Dopoldan, začasno in občasno delo, 308551 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Delo v proizvodnji, sestavljanje kovinskih izdelkov. Prijave in izkušnje sprejemajo na e-mail.","5,07 €/h neto"
TELEFONSKI MARKETING,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308550 , CCA. 1 MESEC OZ. PO DOGOVORU ,TELEFONSKI MARKETING,,"Odgovorni boste za promocijo in predstavitev storitev prevozov na letališča in organiziranje sestankov pri potencialnih strankah. Verjamejo, da lahko delo odlično opravi komunikativna, prodorna in zagnana oseba z visoko stopnjo motivacije. Vsa ostala potrebna znanja zagotovijo sami. Pri prijavi bodo imeli prednost kandidati s preteklimi izkušnjami v prodaji/marketingu in (klicnih) centrih za podporo uporabnikom. Možnost kasnejše zaposlitve. Prijave sprejemajo po e-pošti s pripisom GO201910ST.","6,00 €/h neto"
POMOČ V STREŽBI,MENGEŠ, 1 , Po dogovoru, začasno in občasno delo, 308549 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Lokal na bencinski črpalki potrebuje osebo za pomoč pri strežbi v prijetnem lokalu in simpatičnemu kolektivu. Delo je mogoče v treh izmenah; od 5. do 11., 11. do 17. ali 17. do 23. ure, po potrebi in dogovoru.","6,00 €/h neto"
DELO NA BENCINSKEM SERVISU,LITIJA, 3 , Izmensko, začasno in občasno delo, 308548 , DLJE ČASA (OBČASNO) ,DELO NA BENCINSKEM SERVISU,,Iščejo več kandidatov za delo na bencinskem servisu. Delo vključuje strežbo v baru (tam vsak novi z delom začne) in v trgovini. Zaželene so izkušnje in kraj bivanja v okolici. Odpto imajo vse dni v tednu.,"5,00 €/h neto"
POUČEVANJE,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308547 , DLJE ČASA - PROJEKTNO ,POUČEVANJE,,"Iščemo študenta/-ko za poučevanje italijanskega jezika v bližini Maribora. Pričakujejo točnost, odgovornost in kreativnost. Zaželene so izkušnje s poučevanjem skupinskih tečajev.","9,75 €/h neto"
PROGRAMIRANJE,LJUBLJANA DOLGI MOST, 1 , Dopoldan, začasno in občasno delo, 308545 , PO DOGOVORU ,PROGRAMIRANJE,,"Podjetje išče študenta/ko za pomoč pri razvoju programske opreme in rešitev na področju strojnega vida. Delo vključuje tudi zajem in pripravo podatkov ter orodij za področje globokega učenja. Prednost imajo kandidati višjih letnikov FRI, FMF, FE.","5,00 €/h neto"
POMOČ PRI PRODAJI,KRANJ QLANDIJA, 1 , Izmensko, začasno in občasno delo, 308544 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Iščejo zanesljive, odgovorne osebe za delo v trgovini s čevlji. Plačilo: 4,89 €/h bruto, 5,8 €/h bruto za nedeljsko delo.","4,13 €/h neto"
ADMINISTRATIVNA DELA,NOVO MESTO, 1 , Dopoldan, začasno in občasno delo, 308543 , 2 MESECA ,ADMINISTRATIVNA DELA,,"Opravljanje blagajniških nalog za potrebe skladišča, arhiviranje dokumentacije, priprava obračunov poslovanja blagajne, administrativna in druga opravila za skladišče, po nalogu nadrejenega iste vrste del in nalog v okviru usposobljenosti.","5,00 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308542 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,ANALITSKA DELA,"K sodelovanju vabijo absolventa (-ko) ekonomske ali druge ustrezne smeri za tajniška in analitska dela: sodelovanje pri oblikovanju poročil, lažja analitična dela.,...Zaželeno poznavanje dela z Wordom in Excelom ter dobre komunikacijske sposobnosti. Prijavo s CV pošljite na e-naslov.","5,20 €/h neto"
DELO NA RECEPCIJI,VITANJE, 1 , Po dogovoru, začasno in občasno delo, 308541 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,TURISTIČNI VODNIK,"Podjetje išče komunikativno, polnoletno, energično in odprto osebo s tekočim znanjem nemškega jezika za delo z obiskovalci in na recepciji, npr. vodenje obiskovalcev po razstavah in podobno. Študenti in študentke, ki so ljubitelji vesolja, imajo prednost. Delo bo občasno potekalo tudi med vikendi.","5,00 €/h neto"
DELO V DELAVNICI,KOMENDA, 1 , Dopoldan, začasno in občasno delo, 308540 , DLJE ČASA (OBČASNO) ,DELO V DELAVNICI,MIZARSKA DELA,"Potrebujejo osebo tehnične narave za občasno pomoč pri delu v mizarski delavnici. Delo poteka občasno / po dogovoru. Urna postavka je odvisna od samoangažiranosti, predhodnih izkušenj, volje do dela....",PO DOGOVORU
DELO NA RECEPCIJI,LJUBLJANA CENTER, 2 , Izmensko, začasno in občasno delo, 308537 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,,Delo na recepciji manjšega hotela v popoldanskem in/ali nočnem času. Pogoja: starost nad 20 let in aktivno znanje angleškega jezika. Iščejo zanesljive in marljive osebe. Prijave sprejemajo na e-naslov.,"5,00 €/h neto"
POUČEVANJE,NOVA GORICA, 1 , Po dogovoru, začasno in občasno delo, 308535 , DLJE ČASA (OBČASNO) ,POUČEVANJE,,"Iščejo učitelja/ico angleškega jezika za poučevanje odraslih. Plačilo znaša 8,25 €/šolsko uro bruto. 

Pogoji: izkušnje s poučevanjem odraslih, zanesljivost, komunikativnost. Prijavo z opisom izkušenj pošljite na e-mail, v polje Zadeva pa napišite: poučevanje angleščine v NG.","6,97 €/h neto"
PRODAJA,LJUBLJANA CENTER, 1 , Po dogovoru, začasno in občasno delo, 308534 , DLJE ČASA (OBČASNO) ,PRODAJA,,Pomoč pri prodaji v trgovini z dekorativnimi izdelki za dom. Delovni čas po dogovoru. Prijavo in CV pošlji na e-naslov.,"4,65 €/h neto"
DEKLARIRANJE,LJUBLJANA, 3 , Dopoldan,, 308531 , PO DOGOVORU ,DEKLARIRANJE,,"Deklariranje kozmetike. Pogoji: polnoletnost, ročne spretnosti in natančnost. Dela se od 7. ure dalje.","4,50 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA VIČ, 1 , Izmensko, začasno in občasno delo, 308529 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Svetovanje strankam in prodaja oblačil, delo na blagajni in v skladišču, skrb za urejenost poslovalnice. Plačilo: 5,30 €/h bruto, 5,80 €/h bruto za delo ob nedeljah.","4,48 €/h neto"
STREŽBA HRANE IN PIJAČE,CELJE, 2 , Po dogovoru, začasno in občasno delo, 308528 ," DLJE ČASA (OBČASNO), PO POTREBI ",STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje polnoletni, komunikativni, ter zanesljivi osebi za delo v strežbi prigrizkov in pijač. Priporočljive so izkušnje iz priprave prigrizkov in kave. Odpiralni čas lokala je med 9. in 21., med vikendom med 19. in 22. uro. Interesenti naj pokličejo ali pošljejo vlogo z izkušnjami na kontakt podjetja.","6,00 €/h neto"
ARHEOLOŠKA DELA,RAVNE, 5 , Dopoldan, začasno in občasno delo, 308523 , DO SREDINE NOVEMBRA ,ARHEOLOŠKA DELA,LAŽJA FIZIČNA DELA,"Pomoč pri arheoloških delih na terenu. Pogoji: starost nad 18 let, primerna obleka in obutev. Možen prevoz iz Ljubljane.","4,13 €/h neto"
PREVAJANJE,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 308522 , DLJE ČASA (OBČASNO) ,PREVAJANJE,,Prevajanje poljudnih člankov iz poljščine v slovenščino. Obvezno je odlično znanje slovenščine in občutek za jezik ter dobro razumevanje poljščine.,"8,00 €/h neto"
POUČEVANJE,LJUBLJANA, 5 , Po dogovoru, začasno in občasno delo, 308520 , PO DOGOVORU ,POUČEVANJE,,"Iščejo študente in absolvente tujih jezikov (višji letniki) za prevajanje in poučevanje na individualnih in skupinskih tečajih.Vsi jeziki: slovenščina, angleščina, francoščina, italijanščina, poljščina, češčina, španščina, nemščina, portugalščina, hrvaščina in srbščina in drugi. Urnik po dogovoru. Pričakujejo dobro znanje tujega jezika (najmanj na ravni B2), prijeten odnos do tečajnikov, komunikativnost, zanesljivost, prilagodljivost, ustvarjalnost (priprava zanimivih ur, gradiva)","12,00 €/h neto"
POMOČ V STREŽBI,VRHNIKA, 1 , Med vikendom, začasno in občasno delo, 308519 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Urejen pub s prijetnimi strankami in dobrim kolektivom išče pomoč v strezbi tri vikende na mesec (sob-ned), praznike in občasno še kakšen dan med tednom. Urnik je napisan za cel mesec naprej,  tako da vedno veš kdaj delaš. Vedno je ob tebi še ena od zaposlenih punc tako da nisi sam/a. Pričakujejo resno, prijazno osebo, ki se bo držala urnika in z voljo do dela..","6,00 €/h neto"
BLAGAJNIK,MENGEŠ, 3 , Dopoldan, začasno in občasno delo, 308518 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,"Delo na blagajni z občasnimi pogostitvami in pomoč v strežbi, v lokalu za zaposlene.","4,50 €/h neto"
PROJEKTIRANJE,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308515 , 3 MESECE Z MOŽNOSTJO PODALJŠANJA ,PROJEKTIRANJE,,"Delo obsega 3D modeliranje: izdelava modela na osnovi podlog, 2D dokumentacija: izdelava tehnične dokumentacije (delavniških in sestavnih risb) na osnovi podlog. Programska oprema: Creo, ACAD. Prijave pošljite na elektronski naslov do 6.11.2019. K prijavi priložite življenjepis z vašimi kontaktnimi podatki, navedbo izkušenj in znanj. Kasnejša možnost povišanja urne postavke.","4,13 €/h neto"
DELO V PROIZVODNJI,MEDVODE, 1 , Dopoldan, začasno in občasno delo, 308514 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Za pomoč v proizvodnji iščejo osebo za pomoč pri pripravi materiala, prevoz in razvoz materiala po proizvodnji ter ostala pomoč v interni logistiki. Delo poteka enoizmensko, nudijo brezplačno kosilo in strokovno mentorstvo. Začetno plačilo se giblje med 5-6 € bruto/h. Za prijavo pošlji mail, z delom lahko pričneš takoj.","4,22 €/h neto"
DELO V PROIZVODNJI,NAKLO, 3 , Po dogovoru, začasno in občasno delo, 308512 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,Iščejo študente za pomoč v slaščičarski delavnici. Delo obsega pomožna slaščičarska dela in pakiranje izdelkov.,"4,13 €/h neto"
DELO V SKLADIŠČU,PTUJ, 3 , Dopoldan, začasno in občasno delo, 308511 ," DO 31.12.2019, PO POTREBI ",DELO V SKLADIŠČU,,"Podjetje potrebuje polnoletne, fizično močne, vestne in zanesljive osebe za vsestransko pomoč v skladišču. Delo se bo predvidoma izvajalo do konca decembra 2019, po potrebi, v dopoldanskem času. Interesenti naj med 8. in 15. uro pokličejo na kontakt podjetja.","4,13 €/h neto"
POMOČ V SKLADIŠČU IN PROD. CENTRIH,CELJE, 1 , Po dogovoru, začasno in občasno delo, 308510 , OB SREDAH ,POMOČ V SKLADIŠČU IN PROD. CENTRIH,,"Podjetje potrebuje zanesljivo osebo za pomoč v skladišču. Delo poteka le ob sredah, 4 ure, ura po dogovoru. Interesenti naj pokličejo na kontakt podjetja.","4,22 €/h neto"
DELO V PROIZVODNJI,KOPER, 1 , Dopoldan, začasno in občasno delo, 308509 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,Iščejo študenta/ko za pomoč pri pripravi in pakiranju namaza.,"4,65 €/h neto"
DELO V SKLADIŠČU,TRZIN, 2 , Izmensko, začasno in občasno delo, 308508 , PO DOGOVORU ,DELO V SKLADIŠČU,,K sodelovanju vabijo študente/ke za delo v izhodnem skladišču zamrznjenih izdelkov. Delo je organizirano v dveh izmenah.,"5,49 €/h neto"
DELO NA TERENU,MARIBOR Z OKOLICO, 1 , Po dogovoru, začasno in občasno delo, 308507 , DLJE ČASA (OBČASNO) ,DELO NA TERENU,,Pomoč pri izvajanju deratizacije.,"4,13 €/h neto"
PRODAJA,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 308505 , DECEMBER 2019 ,PRODAJA,DELO NA STOJNICI,Za prodajo kave iščejo komunikativne osebe z izkušnjami za prodajo na stojnici v času novoletnega sejma v trgovskem centru Citypark in Supernova Rudnik.,"4,82 €/h neto"
DIGITALNI MARKETING,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 308504 , DLJE ČASA (OBČASNO) ,DIGITALNI MARKETING,,"Opis dela: priprava katalogov, akcij, itd. Zaželene izkušnje iz programiranja in dizajniranja. Odlično znanje slovenskega jezika. Pokličite za več informacij.","10,00 €/h neto"
LAŽJA FIZIČNA DELA,LJUBLJANA - DRAVLJE, 3 , Dopoldan, začasno in občasno delo, 308503 , 14 DNI ,LAŽJA FIZIČNA DELA,,"Potrebujejo več oseb za opravljanje pomožnih del na gradbišču, opravljanje lažjih fizičnih del. Pogoj je starost nad 18 let.","5,00 €/h neto"
POMOČ V TRGOVINI,KOPER, 3 , Po dogovoru, začasno in občasno delo, 308501 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,PRODAJA,"Trgovsko podjetje potrebuje polnoletne osebe za prodajo v trgovini s športno opremo. Fleksibilen delovnik (dela se tudi med vikendi in prazniki). Prednost bodo imeli kandidati, ki imajo voljo delati dlje časa.","4,23 €/h neto"
PRODAJA,LJUBLJANA CENTER, 3 , Po dogovoru, začasno in občasno delo, 308500 , DO 05.01.2019 ,PRODAJA,DELO NA STOJNICI,"Potrebujejo osebe za prodajo unikatnih izdelkov (kap, šalov, rokavic ...) na stojnici v ogrevani hiški. Pogoji: starost nad 20 let, zanesljivost, prijaznost, komunikativnost, ter znanje vsaj dveh tujih jezikov. Zaželene so izkušnje pri prodaji. Urna postavka je 5,92 € bruto + stimulacija (5 % od prodanih izdelkov).","5,00 €/h neto"
DELO S STRANKAMI,CELJE, 1 , Izmensko, začasno in občasno delo, 308498 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,KOZMETIČNE STORITVE,"Podjetje išče kandidata za pomoč v salonu, ki se ukvarja z zniževanjem telesne teže in oblikovanjem telesa. Delo obsega: pomoč pri vodenju strank po predpisanem programu, pomoč pri svetovanju s področja vadbe, prehrane, estetike in zdravega načina življenja ter izvajanje drugih sorodnih del po navodilih nadrejenega. Pričakujejo: vsaj V.stopnja izobrazbe zdravstvene, kozmetične ali športne smeri; prehranski svetovalec, želja po delu z ljudmi ter odgovornost. Prijave sprejemajo na e-mail.","4,22 €/h neto"
DELO S STRANKAMI,IZOLA, 1 , Izmensko, začasno in občasno delo, 308496 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,KOZMETIČNE STORITVE,"Podjetje išče kandidata za pomoč v salonu, ki se ukvarja z zniževanjem telesne teže in oblikovanjem telesa. Delo obsega: pomoč pri vodenju strank po predpisanem programu, pomoč pri svetovanju s področja vadbe, prehrane, estetike in zdravega načina življenja ter izvajanje drugih sorodnih del po navodilih nadrejenega. Pričakujejo: vsaj V.stopnja izobrazbe zdravstvene, kozmetične ali športne smeri; prehranski svetovalec, želja po delu z ljudmi ter odgovornost. Prijave sprejemajo na e-mail.","4,22 €/h neto"
POMOČ V STREŽBI,MEDVODE, 2 , Popoldan, začasno in občasno delo, 308494 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"V prijetnem okolju se nahaja kavarna, ki išče osebi za strežbo. Izkušnje zaželene. Delo je možno tudi samo med vikendom.","5,20 €/h neto"
POMOČ V TRGOVINI,CELJE, 1 , Po dogovoru, začasno in občasno delo, 308489 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,DELO V KNJIGARNI,"Pomoč pri prodaji v knjigarni: svetovanje strankam pri nakupih, manipulacija z blagom v prodajalni. Iščejo prijaznega, komunikativnega študenta/tko. Delo poteka med tednom in tudi med vikendom. Delovnik po dogovoru. Prijave na e-naslov.","5,00 €/h neto"
PRODAJA,CELJE, 5 , Po dogovoru, začasno in občasno delo, 308487 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Pomoč pri prodaji v trgovini s trendovskimi oblačili. Pogoj je starost nad 18 let, izkušnje niso potrebne.  Delovni čas je fleksibilen in poteka po dogovoru - tudi popoldan in med vikendi. Za prijavo pokličite na kontakt podjetja.","4,50 €/h neto"
POMOČ PRI PRODAJI,ČRNOMELJ, 1 , Izmensko, začasno in občasno delo, 308484 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Podjetje potrebuje osebo za pomoč pri prodaji v trgovini z živili.,"4,13 €/h neto"
NEGOVANJE,POSTOJNA, 2 , Po dogovoru, začasno in občasno delo, 308483 , DLJE ČASA (OBČASNO) ,NEGOVANJE,,"Podjetje potrebuje osebi za pomoč pri zdravsteni negi oskrbovancev. Zaželena zdravstvena smer - bolničar , negovalec, zdravstveni tehnik ali študent zdravstvene fakultete.","4,13 €/h neto"
VNOS PODATKOV V RAČUNALNIK,KAMNIK, 1 , Dopoldan, začasno in občasno delo, 308481 , DLJE ČASA (OBČASNO) ,VNOS PODATKOV V RAČUNALNIK,,"Podjetje išče študente za vnos izdelkov na spletno trgovino (Woocoommerce). Izkušnje zaželene, vendar niso pogoj. Pogoj je znanje in hitrost za računalnikom.","5,30 €/h neto"
DELO V PROIZVODNJI,APAČE, 1 , Dopoldan, začasno in občasno delo, 308476 , PO DOGOVORU ,DELO V PROIZVODNJI,,Pomožna dela v proizvodnji in na montaži.,"5,00 €/h neto"
STREŽBA HRANE IN PIJAČE,LUCIJA - PORTOROŽ, 1 , Po dogovoru, začasno in občasno delo, 308475 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Za strežbo hrane in pijače v piceriji iščejo komunikativno in prijazno osebo. Pogoj je starost nad 18 let.  Zaželene so izkušnje.,"5,50 €/h neto"
DELO V KUHINJI,DOMŽALE, 1 , Dopoldan, začasno in občasno delo, 308473 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,Pomoč v kuhinji vrtca.,"4,13 €/h neto"
POMOČ V TRGOVINI,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308472 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,,"V manjši živilski prodajalni potrebujejo polnoletno osebo za delo v delikatesi, za polnjenje polic in delo na blagajni.","6,00 €/h neto"
DELO S STRANKAMI,ROGLA, 5 , Po dogovoru, začasno in občasno delo, 308471 , SEZONSKO DELO ,DELO S STRANKAMI,,"Podjetje potrebuje polnoletno in zanesljivo osebo za delo in pomoč na smučišču. Delo zajema pomoč v SKI servisu, ter delo žičničarja strežnika. Delo bo potekalo skozi celotno zimsko sezono, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,13 €/h neto"
DELO V PROIZVODNJI,LJUBLJANA, 20 , Izmensko, začasno in občasno delo, 308470 , 1-2 MESECA ,DELO V PROIZVODNJI,,Delo na oddelku pakiranja hrenovk in narezkov ter na oddelku kosovnega zamrzovanja.,"5,49 €/h neto"
POMOČ V STREŽBI,ROGLA, 5 , Po dogovoru, začasno in občasno delo, 308469 ," PO POTREBI, SEZONSKO DELO ",POMOČ V STREŽBI,,"Podjetje potrebuje polnoletne, komunikativne, vestne in zanesljive osebe za pomoč v strežbi. Gre za sezonsko delo, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,13 €/h neto"
DELO NA TERENU,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308468 , DLJE ČASA (OBČASNO) ,DELO NA TERENU,,Geodetske meritve na terenu. Pogoj je starost nad 18 let in izpit B kategorije. Operater na instrumentu. Zaželen/a študen/kat geodezije in znanje Autacad-a.,"5,07 €/h neto"
DELO V KUHINJI,ROGLA, 5 , Po dogovoru, začasno in občasno delo, 308467 ," PO POTREBI, SEZONSKO DELO ",DELO V KUHINJI,,"Podjetje potrebuje vestne in zanesljive osebe za delo in vsestransko pomoč v kuhinji. Dela se v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,13 €/h neto"
STREŽBA,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308463 , PO DOGOVORU ,STREŽBA,,Podjetje potrebuje izkušeno osebo za strežbo pijače in slaščic.,"6,10 €/h neto"
RAČUNOVODSKA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308460 , DLJE ČASA (OBČASNO) ,RAČUNOVODSKA DELA,,"Za pomoč v oddelku Finance in računov. iščejo polnol. osebo (razporejanje in kontrola prejetih računov, skeniranje računov, zavračanje računov, knjiženje računov/carina, evidenca vseh prejetih računov, arhiviranje prejetih računov, usklajevanje IOP-jev). Topla malica zagotovljena. Prijave s CV pošljite na e-naslov. Pogoji: znanje slovenskega in angleškega jezika ter programov Word in Excel. Prednost imajo študentje ekon. in poslov. ved ter tisti, ki imajo že izkušnje z delom z dokumentacijo.","4,23 €/h neto"
PRODAJA,LJ CENTER, 2 , Izmensko, začasno in občasno delo, 308459 , OD 25. 11. DO 6. 12. 2019 ,PRODAJA,,"Prodaja čokolade in čaja v prazničnih dneh v praznični hiški na Bregu. Delo je izmenično. Potrebno osnovno znanje angleškega jezika. Potrebujejo resno, prijazno in komunikativno osebo.","5,50 €/h neto"
DELO NA BENCINSKEM SERVISU,CELJE, 1 , Po dogovoru, začasno in občasno delo, 308458 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI ",DELO NA BENCINSKEM SERVISU,,"Podjetje potrebuje polnoletno, komunikativno, vestno in zanesljivo osebo za delo pri prodaji in pomoči na bencinskem servisu. Interesenti naj pošljejo vlogo na  kontakt podjetja.","4,13 €/h neto"
MONTAŽA,"TEREN PTUJ, MARIBOR", 1 , Dopoldan, začasno in občasno delo, 308457 , PO DOGOVORU IN POTREBI ,MONTAŽA,DELO NA TERENU,"Podjetje potrebuje polnoletno osebo za pomoč pri montažnih delih - montaža in vijačenje gradbenih elementov, pomoč pri montaži lesnih in kovinskih konstrukcij. Zaželene ročne spretnosti, rokovanje z Aku. vijačniki. Delo se prične ob 7. uri zjutraj.","5,00 €/h neto"
